Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
28588311,"09:38, 8 September 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
28511794,"20:44, 20 August 2020",Kyle Hall,False,deletion,active,,-34,(updated intro)
28461563,"09:45, 7 August 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
28455550,"09:22, 6 August 2020",RelatedWikihowsBot,False,deletion,active,,-65,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28412447,"09:50, 24 July 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
28407795,"09:28, 23 July 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
28010578,"09:46, 20 April 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
27964222,"09:28, 9 April 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
27907680,"09:47, 27 March 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
27898242,"04:38, 25 March 2020",Samantha Hooper,False,addition,active,,31,(Adding video via video picker tool)
27891142,"17:11, 23 March 2020",Mya L,False,deletion,active,,-31,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
27890779,"16:05, 23 March 2020",Danise Walton,False,addition,active,,9,
27868098,"23:17, 17 March 2020",WikiHow Expert Review,False,addition,active,,353,(Updated green box.)
27854994,"00:42, 14 March 2020",Seymour Edits,False,addition,active,,20,(Weaving relevant link)
27774448,"10:37, 25 February 2020",Votebot,False,adjustment,reverted,Alabaster,0,(reordering tips and warnings based on votes)
27716925,"17:05, 11 February 2020",WikiHow Expert Review,False,adjustment,active,,0,(grammatical edit)
27711038,"18:20, 10 February 2020",JustJoshua,False,addition,active,,1,(So many little mistakes in the article.)
27710991,"18:15, 10 February 2020",JustJoshua,False,addition,active,,9,(→‎Steps)
27710981,"18:12, 10 February 2020",JustJoshua,False,deletion,active,,-4,(Minor touch.)
27710937,"18:10, 10 February 2020",JustJoshua,False,revert,active,,-166,(Reverted edits by Teensitting 3 (Talk); changed back to last version by Alabaster)
27710915,"18:05, 10 February 2020",Teensitting 3,False,addition,reverted,JustJoshua,1,(→‎Steps)
27710913,"18:05, 10 February 2020",Teensitting 3,False,addition,reverted,JustJoshua,165,
27656593,"11:52, 29 January 2020",Teensitting 3,False,revert,reverted,JustJoshua,-371,(Reverted edits by Teensitting 3 (Talk); changed back to last version by Alabaster)
27656494,"11:13, 29 January 2020",Teensitting 3,False,addition,reverted,JustJoshua,371,(Adding wikiHow links)
